"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
7.515851029E0,6.286621094E0,-1.051330566E0,1.297149658E1
7.536145219E0,7.743835449E0,-1.048278809E0,1.439819336E1
7.555981644E0,6.346130371E0,3.280639648E-1,1.723937988E1
7.575818070E0,4.154968262E0,-3.723144531E-1,1.510772705E1
7.595807084E0,4.199218750E0,1.010131836E0,1.794738770E1
7.615765580E0,2.761840820E0,1.699829102E0,1.793975830E1
7.635754594E0,4.190063477E0,1.013183594E0,1.723175049E1
7.655743607E0,4.901123047E0,1.019287109E0,1.651763916E1
7.675732621E0,3.791809082E0,1.484680176E0,1.905670166E1
7.696057328E0,2.943420410E0,-3.356933594E-2,1.847076416E1
7.715954789E0,2.922058105E0,6.713867188E-1,1.631774902E1
7.735699662E0,2.938842773E0,6.652832031E-1,1.774749756E1
7.755688676E0,1.507568359E0,2.050781250E0,1.772918701E1
7.775677689E0,1.498413086E0,6.591796875E-1,1.774902344E1
7.795697221E0,2.922058105E0,6.713867188E-1,1.631774902E1
7.815655717E0,1.493835449E0,1.358032227E0,1.702423096E1
7.835644730E0,1.507568359E0,2.050781250E0,1.772918701E1
7.855633744E0,2.938842773E0,2.061462402E0,1.701354980E1
7.875927933E0,2.214050293E0,2.755737305E0,1.629028320E1
7.895642289E0,-6.576538086E-1,4.133605957E0,1.627502441E1
7.915631303E0,1.481628418E0,3.453063965E0,1.485443115E1
7.935589799E0,1.493835449E0,4.147338867E0,1.555938721E1
7.955578812E0,7.873535156E-1,4.838562012E0,1.626434326E1
7.975567826E0,-1.382446289E0,4.829406738E0,1.555328369E1
7.995556840E0,-6.668090820E-1,4.136657715E0,1.556091309E1
8.015545853E0,2.085876465E0,5.335998535E0,1.529083252E1
8.035870560E0,6.546020508E-1,3.932189941E0,1.673889160E1
8.055554398E0,2.801513672E0,6.039428711E0,1.456604004E1
8.075573930E0,2.827453613E0,4.637145996E0,1.744232178E1
8.095532426E0,6.408691406E-1,6.028747559E0,1.456756592E1
8.115490922E0,6.408691406E-1,6.028747559E0,1.456756592E1
8.135479935E0,-7.934570312E-2,7.418823242E0,1.383666992E1
8.155468949E0,1.339721680E0,6.735229492E0,1.241455078E1
8.175457963E0,6.530761719E-1,6.721496582E0,1.527252197E1
