"Time (s)","Illuminance (lx)"
4.828162639E2,2.360000000E2
4.830190837E2,6.220000000E2
4.832219036E2,6.550000000E2
4.834247844E2,3.490000000E2
4.836276043E2,1.040000000E2
4.838307903E2,1.600000000E2
4.840332744E2,5.200000000E2
4.842361248E2,6.830000000E2
4.844390056E2,5.400000000E2
4.846417928E2,1.700000000E2
4.848448568E2,8.300000000E1
4.850474935E2,1.040000000E2
4.852503439E2,4.090000000E2
4.854532247E2,4.960000000E2
4.856560140E2,3.550000000E2
4.858588949E2,1.620000000E2
4.860616537E2,8.900000000E1
4.862645040E2,2.480000000E2
4.864673544E2,5.100000000E2
4.866701437E2,5.560000000E2
4.868729940E2,3.870000000E2
4.870758444E2,1.200000000E2
4.872790609E2,9.300000000E1
4.874815145E2,3.730000000E2
4.876843954E2,5.920000000E2
4.878872762E2,5.870000000E2
4.880900655E2,3.890000000E2
4.882930990E2,9.400000000E1
4.884957662E2,1.490000000E2
4.886986166E2,6.110000000E2
