sensor_type,device_type,timestamps,illuminance
light,smartphone,1529416909349982976,409.0
light,smartphone,1529416909552834048,327.0
light,smartphone,1529416909755652864,487.0
light,smartphone,1529416909958503936,533.0
light,smartphone,1529416910161293056,413.0
light,smartphone,1529416910364509952,273.0
light,smartphone,1529416910769814016,423.0
light,smartphone,1529416910972664064,501.0
light,smartphone,1529416911175483904,385.0
light,smartphone,1529416911378547968,332.0
light,smartphone,1529416911581124096,368.0
light,smartphone,1529416911784003840,700.0
light,smartphone,1529416911986823936,723.0
light,smartphone,1529416912189644032,436.0
light,smartphone,1529416912392615936,459.0
light,smartphone,1529416912595344896,381.0
light,smartphone,1529416912798163712,620.0
light,smartphone,1529416913000953856,494.0
light,smartphone,1529416913203803904,321.0
light,smartphone,1529416913406716160,317.0
light,smartphone,1529416913609504768,428.0
light,smartphone,1529416913812690944,725.0
light,smartphone,1529416914015175168,462.0
light,smartphone,1529416914217994752,404.0
light,smartphone,1529416914420814848,435.0
light,smartphone,1529416914623665152,602.0
light,smartphone,1529416914826697984,846.0
light,smartphone,1529416915029366016,573.0
light,smartphone,1529416915232337920,384.0
light,smartphone,1529416915435035904,478.0
light,smartphone,1529416915637885952,641.0
light,smartphone,1529416915840706048,738.0
light,smartphone,1529416916043555840,417.0
light,smartphone,1529416916246864128,386.0
light,smartphone,1529416916449225728,398.0
light,smartphone,1529416916652076800,542.0
light,smartphone,1529416916854958080,512.0
light,smartphone,1529416917057777920,307.0
light,smartphone,1529416917260902912,268.0
light,smartphone,1529416917463478016,247.0
light,smartphone,1529416917666328832,380.0
light,smartphone,1529416917869118976,359.0
light,smartphone,1529416918072000000,199.0
light,smartphone,1529416918274849792,215.0
light,smartphone,1529416918680489984,395.0
light,smartphone,1529416918883341056,398.0
light,smartphone,1529416919086190848,330.0
light,smartphone,1529416919289072128,244.0
light,smartphone,1529416919491860992,300.0
light,smartphone,1529416919694985984,413.0
light,smartphone,1529416919897530880,359.0
light,smartphone,1529416920100350976,290.0
light,smartphone,1529416920303201024,243.0
light,smartphone,1529416920506052096,304.0
light,smartphone,1529416920709024000,469.0
light,smartphone,1529416920911691008,445.0
light,smartphone,1529416921114511104,367.0
light,smartphone,1529416921317330944,339.0
light,smartphone,1529416921520150784,405.0
light,smartphone,1529416921723001088,471.0
light,smartphone,1529416921925820928,477.0
light,smartphone,1529416922128640768,343.0
light,smartphone,1529416922331460864,285.0
light,smartphone,1529416922534279936,249.0
light,smartphone,1529416922737131008,463.0
light,smartphone,1529416922939950848,633.0
light,smartphone,1529416923143137024,405.0
light,smartphone,1529416923345650944,373.0
light,smartphone,1529416923548471040,449.0
light,smartphone,1529416923751321088,616.0
light,smartphone,1529416923954140928,1084.0
light,smartphone,1529416924157114112,1131.0
light,smartphone,1529416924359811072,1153.0
light,smartphone,1529416924562630912,1260.0
light,smartphone,1529416924765481984,1408.0
light,smartphone,1529416924968301056,1623.0
light,smartphone,1529416925171152128,1702.0
light,smartphone,1529416925373971968,1639.0
light,smartphone,1529416925577188096,1592.0
light,smartphone,1529416925779611136,1507.0
light,smartphone,1529416925982461952,1372.0
light,smartphone,1529416926185341952,1368.0
