sensor_type,device_type,timestamps,illuminance
light,smartphone,1529418045595555072,1.0
light,smartphone,1529418045798436096,3.0
light,smartphone,1529418046204106240,1.0
light,smartphone,1529418047015447040,3.0
light,smartphone,1529418047421178112,0.0
light,smartphone,1529418047623997952,1.0
light,smartphone,1529418047827091968,0.0
light,smartphone,1529418048029668096,1.0
light,smartphone,1529418048232487936,3.0
light,smartphone,1529418048435368960,2.0
light,smartphone,1529418048638219264,1.0
light,smartphone,1529418049044164096,0.0
light,smartphone,1529418049246800896,1.0
light,smartphone,1529418049449681152,2.0
light,smartphone,1529418049855382016,1.0
light,smartphone,1529418050058232064,11.0
light,smartphone,1529418050261327104,21.0
light,smartphone,1529418050463933184,8.0
light,smartphone,1529418050666783232,37.0
light,smartphone,1529418050869634048,47.0
light,smartphone,1529418051072484096,39.0
light,smartphone,1529418051275395072,19.0
light,smartphone,1529418051478215168,14.0
light,smartphone,1529418051681065984,1.0
light,smartphone,1529418052289647104,0.0
light,smartphone,1529418052492497920,1.0
