"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
9.451253870E-1,1.071792603E0,4.690399170E0,8.078155518E0
9.475973110E-1,1.428527832E0,5.073471069E0,8.139205933E0
9.500692340E-1,1.645202637E0,5.314086914E0,7.853088379E0
9.525106410E-1,1.682312012E0,5.463714600E0,7.483184814E0
9.549825640E-1,1.666748047E0,5.652862549E0,7.391021729E0
9.574239710E-1,1.574569702E0,5.810882568E0,7.566986084E0
9.598958950E-1,1.385421753E0,5.931793213E0,7.979995728E0
9.623678180E-1,1.321975708E0,5.952133179E0,8.414535522E0
9.648092250E-1,1.225021362E0,5.952133179E0,8.875427246E0
9.672811480E-1,1.147201538E0,5.915023804E0,9.221374512E0
9.697530720E-1,1.075378418E0,5.828842163E0,9.453613281E0
9.722249960E-1,9.449005127E-1,5.651672363E0,9.702621460E0
9.746969200E-1,8.407440186E-1,5.512802124E0,9.918090820E0
9.771383260E-1,7.102661133E-1,5.415832520E0,1.019223022E1
9.796102500E-1,6.097106934E-1,5.233871460E0,1.030953979E1
9.820821740E-1,4.852142334E-1,5.108184814E0,1.044242859E1
